OBJECTID,X,Y,Latitude,Longitude,Date,AnimalType,Crash_Seve,County,Crash_Date_Original,Crash_Time_Original,Crash_Time,Primary_St,Distance,Dir,Secondary_,Weather,Fatalities,Injured,Property_D,Injury_Typ,Crash_Type,Total_Vehi,V1_Type,V1_Dir,V1_Driver_,V1_Lane_Nu,V1_Action,V1_Driver1,V1_Drive_1,V1_Vehicle,V1_Most_Ha,V1_All_Eve,V2_Type,V2_Dir,V2_Driver_,V2_Lane_Nu,V2_Action,V2_Driver1,V2_Drive_1,V2_Vehicle,V2_Most_Ha,V2_All_Eve,First_Harm,Nonmotoris,Factors_Ro,Lighting,HWY_Factor,Agency,Accident_R,Pedalcycli,Pedestrian,Motorcycli,CrashDateT,GlobalID
352596,650644.194,3988430.552,36.03,-115.3,2016-09-07,BURRO,PROPERTY DAMAGE ONLY,CLARK,Wed Sep 07 00:00:00 PDT 2016,Sun Dec 31 15:26:00 PST 1899,15:26:00,SR160,380,E,SHAUMBER RD,CLEAR,-9999,-9999,PDO,Null,NON-COLLISION,1,VAN,E,69,2,GOING STRAIGHT,APPARENTLY NORMAL,Null,Null,Null,BURRO,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,DRY,DAYLIGHT,ANIMAL IN ROADWAY,NHP,2329339,Null,Null,Null,2016-09-07T22:26:00.000Z,{D0B9E9EB-F9FE-4B77-A827-0FFBE47608D1}
413200,656777.9709,4161896.182,37.59,-115.2,2016-09-14,CATTLE,PROPERTY DAMAGE ONLY,LINCOLN,Wed Sep 14 00:00:00 PDT 2016,Sun Dec 31 01:30:00 PST 1899,1:30:00,SR318,500,S,MILE MARKER 5,CLEAR,-9999,-9999,PDO,Null,NON-COLLISION,1,"TRACTOR TRUCK, DIESEL",N,58,1,GOING STRAIGHT,APPARENTLY NORMAL,Null,Null,Null,CATTLE,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,DRY,DARK - NO LIGHTING,ANIMAL IN ROADWAY,NHP,2329668,Null,Null,Null,2016-09-14T08:30:00.000Z,{D229CA76-3438-47D7-B0E7-84DCC71DBF59}
353199,345680.1588,4282774.263,38.68,-118.8,2016-09-14,BIG HORN SHEEP,PROPERTY DAMAGE ONLY,MINERAL,Wed Sep 14 00:00:00 PDT 2016,Sun Dec 31 19:41:00 PST 1899,19:41:00,US95N,1584,N,MILE MARKER 64,CLEAR,-9999,-9999,PDO,Null,NON-COLLISION,1,"TRACTOR TRUCK, DIESEL",S,30,1,GOING STRAIGHT,APPARENTLY NORMAL,Null,Null,Null,BIG HORN SHEEP,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,DRY,DUSK,ANIMAL IN ROADWAY,NHP,2329737,Null,Null,Null,2016-09-15T02:41:00.000Z,{B19C9024-0795-4B13-8070-18F152F52726}
356795,630603.6632,4042570.995,36.52,-115.5,2016-09-21,COYOTE,PROPERTY DAMAGE ONLY,CLARK,Wed Sep 21 00:00:00 PDT 2016,Sun Dec 31 00:55:00 PST 1899,0:55:00,US95S,100,N,MILE MARKER 111,CLEAR,-9999,-9999,PDO,Null,NON-COLLISION,1,"SEDAN, 4 DOOR",S,28,2,GOING STRAIGHT,APPARENTLY NORMAL,Null,Null,Null,DOG/COYOTE,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,DRY,DARK - NO LIGHTING,ANIMAL IN ROADWAY,NHP,2329986,Null,Null,Null,2016-09-21T07:55:00.000Z,{E5C6FE8C-CAD8-41C7-8EA7-BC0AD320CA75}
384321,358893.2591,4361640.338,39.39,-118.6,2017-04-07,DOG/COYOTE,PROPERTY DAMAGE ONLY,CHURCHILL,Fri Apr 07 00:00:00 PDT 2017,Sun Dec 31 04:30:00 PST 1899,4:30:00,US50,1000,E,MACARI LN,CLEAR,-9999,-9999,PDO,O,NON-COLLISION,1,SEDAN,E,41,1,GOING STRAIGHT,APPARENTLY NORMAL,Null,Null,Null,DOG/COYOTE,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,DRY,DARK - NO LIGHTING,DRY,NHP,2379449,Null,Null,Null,2017-04-07T11:30:00.000Z,{E146DE47-DA35-453A-8ECB-8F13CDBBEB4A}
384571,434909.6554,4608087.391,41.62,-117.8,2017-04-07,DEER,PROPERTY DAMAGE ONLY,HUMBOLDT,Fri Apr 07 00:00:00 PDT 2017,Sun Dec 31 06:10:00 PST 1899,6:10:00,US95N,850,N,MILE MARKER 47,CLOUDY,-9999,-9999,PDO,O,NON-COLLISION,1,SEDAN,S,44,1,GOING STRAIGHT,APPARENTLY NORMAL,Null,Null,Null,DEER,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,DRY,DAWN,DRY,NHP,2379423,Null,Null,Null,2017-04-07T13:10:00.000Z,{65A4EF96-68BF-411C-BFCF-51861C95A5BC}
386693,597723.3342,4615643.383,41.69,-115.8,2017-04-07,DEER,PROPERTY DAMAGE ONLY,ELKO,Fri Apr 07 00:00:00 PDT 2017,Sun Dec 31 18:52:00 PST 1899,18:52:00,SR225,0,Null,MILE MARKER 94,RAIN,-9999,-9999,PDO,O,NON-COLLISION,1,"SEDAN, 4 DOOR",N,23,1,GOING STRAIGHT,APPARENTLY NORMAL,Null,UNKNOWN,Null,DEER,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,DRY,DAYLIGHT,DRY,NHP,2379467,Null,Null,Null,2017-04-08T01:52:00.000Z,{33D2A15F-5B97-4757-844D-B01A67BE6698}
387426,545964.1602,4502191.118,40.67,-116.5,2017-04-07,DEER,PROPERTY DAMAGE ONLY,EUREKA,Fri Apr 07 00:00:00 PDT 2017,Sun Dec 31 00:41:00 PST 1899,0:41:00,IR80E,0,Null,MILE MARKER 8,CLOUDY,-9999,-9999,PDO,O,NON-COLLISION,1,"HATCHBACK, 4 DOOR",E,27,2,GOING STRAIGHT,APPARENTLY NORMAL,Null,UNKNOWN,Null,DEER,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,DRY,DARK - NO LIGHTING,DRY,NHP,2379416,Null,Null,Null,2017-04-07T07:41:00.000Z,{9F27274D-F12D-4F97-8589-0606528A93EB}
384147,703284.6856,4323582.31,39.04,-114.7,2017-04-14,DEER,PROPERTY DAMAGE ONLY,WHITE PINE,Fri Apr 14 00:00:00 PDT 2017,Sun Dec 31 19:30:00 PST 1899,19:30:00,US6,0,Null,MILE MARKER 60,UNKNOWN,-9999,-9999,PDO,O,NON-COLLISION,1,PICKUP,W,22,-9999,UNKNOWN,UNKNOWN,Null,UNKNOWN,Null,DEER,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,DRY,UNKNOWN,DRY,NHP,2380439,Null,Null,Null,2017-04-15T02:30:00.000Z,{F3391B9E-59CF-4092-9533-F817DDAB3667}
394613,521690.4846,4084999.676,36.91,-116.8,2017-04-14,BURRO,PROPERTY DAMAGE ONLY,NYE,Fri Apr 14 00:00:00 PDT 2017,Sun Dec 31 20:40:00 PST 1899,20:40:00,US95N,60,S,MILE MARKER 60,CLEAR,-9999,-9999,PDO,N,NON-COLLISION,1,UTILITY,S,-9999,-9999,GOING STRAIGHT,APPARENTLY NORMAL,Null,UNKNOWN,Null,BURRO,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,NYSO,2385506,Null,Null,Null,2017-04-15T03:40:00.000Z,{E4F63087-0A01-4FFF-82F0-F74F7BCF7DBB}
