Park,Latitude,Longitude,Mortality Date,Species,Total Animals,Adult Female,Sex,Age_Class,Mortality Type,Original formatted date,Easting,Northing
Glacier National Park,51.24,-117.7,1986-07-11,Black Bear,1,0,Female,YOY,Highway,11/7/1986,453620,5676509
Glacier National Park,51.26,-117.6,1986-08-01,Black Bear,1,0,Unknown,YOY,Highway,1/8/1986,458920,5678509
Glacier National Park,51.32,-117.5,1987-02-16,Mountain Goat,1,0,Male,ADULT,Highway,16/02/1987,466820,5685909
Glacier National Park,51.32,-117.5,1987-05-05,Black Bear,1,0,Unknown,YLY,Highway,5/5/1987,465120,5685209
Glacier National Park,51.35,-117.4,1987-05-27,Black Bear,1,1,Female,ADULT,Highway,27/05/1987,469620,5689309
Glacier National Park,51.21,-117.7,1987-07-04,Black Bear,1,1,Female,ADULT,Highway,4/7/1987,451320,5673809
Glacier National Park,51.31,-117.5,1987-07-08,Black Bear,1,1,Female,ADULT,Highway,8/7/1987,463620,5683909
Glacier National Park,51.23,-117.7,1987-07-10,Black Bear,1,1,Female,ADULT,Highway,10/7/1987,453420,5675909
Glacier National Park,51.35,-117.4,1987-08-09,Black Bear,1,0,Unknown,YLY,Highway,9/8/1987,469620,5688509
Glacier National Park,51.39,-117.4,1987-08-15,Black Bear,1,0,Unknown,YOY,Highway,15/08/1987,468820,5692909
Glacier National Park,51.38,-117.5,1987-08-16,Black Bear,1,0,Unknown,YOY,Highway,16/08/1987,468320,5692709
Glacier National Park,51.33,-117.5,1988-06-23,Mountain Goat,1,1,Female,ADULT,Highway,23/06/1988,467920,5686309
Glacier National Park,51.32,-117.5,1988-07-04,Mountain Goat,1,0,Male,ADULT,Highway,4/7/1988,466920,5686009
Glacier National Park,51.4,-117.5,1988-08-01,Black Bear,1,1,Mixed,ADULT,Highway,1/8/1988,467920,5694209
Glacier National Park,51.21,-117.7,1988-08-18,Black Bear,1,1,Female,ADULT,Highway,18/08/1988,448420,5672909
Glacier National Park,51.32,-117.5,1988-10-20,Black Bear,1,0,Unknown,ADULT,Highway,20/10/1988,465720,5685509
Glacier National Park,51.32,-117.5,1989-06-08,Mountain Goat,1,0,Unknown,YOY,Highway,8/6/1989,467420,5686009
Glacier National Park,51.32,-117.5,1989-06-16,Mountain Goat,1,0,Unknown,YLY,Highway,16/06/1989,467320,5686009
Glacier National Park,51.22,-117.7,1989-06-23,Black Bear,1,0,Unknown,YOY,Highway,23/06/1989,452720,5675009
Glacier National Park,51.32,-117.5,1989-07-01,Mountain Goat,1,1,Female,ADULT,Highway,1/7/1989,467220,5685909
Glacier National Park,51.32,-117.5,1989-07-14,Mountain Goat,1,0,Unknown,YLY,Highway,14/07/1989,467220,5686009
Glacier National Park,51.31,-117.5,1989-08-03,Black Bear,1,0,Unknown,YLY,Highway,3/8/1989,464020,5684509
Glacier National Park,51.32,-117.5,1990-06-14,Black Bear,1,0,Male,YOY,Highway,14/06/1990,465107,5685162
Glacier National Park,51.32,-117.5,1990-06-19,Black Bear,1,0,Unknown,ADULT,Highway,19/06/1990,465820,5685609
Glacier National Park,50.56,-117.5,1990-07-05,Black Bear,1,1,Female,ADULT,Highway,5/7/1990,466720,5601408
Glacier National Park,51.29,-117.5,1990-07-14,Black Bear,1,0,Unknown,YOY,Highway,14/07/1990,464220,5682509
Glacier National Park,51.43,-117.5,1990-07-22,Black Bear,1,0,Unknown,YLY,Highway,22/07/1990,466720,5697709
Glacier National Park,51.05,-117.9,1990-08-25,Mountain Goat,1,0,Female,YOY,Highway,25/08/1990,434420,5656209
Glacier National Park,51.32,-117.5,1990-10-16,Mountain Goat,2,1,Unknown,Unknown,Highway,16/10/1990,467500,5685800
Glacier National Park,51.46,-117.5,1991-05-12,Mountain Goat,1,0,Unknown,YLY,Highway,12/5/1991,466620,5701509
Glacier National Park,51.38,-117.5,1991-05-18,Black Bear,1,0,Unknown,YLY,Highway,18/05/1991,468520,5691809
Glacier National Park,51.33,-117.4,1991-06-08,Black Bear,1,1,Female,ADULT,Highway,8/6/1991,468920,5686709
Glacier National Park,51.32,-117.5,1991-06-16,Mountain Goat,1,1,Female,ADULT,Highway,16/06/1991,467220,5686009
Glacier National Park,51.45,-117.5,1991-06-28,Black Bear,1,0,Unknown,YLY,Highway,28/06/1991,466820,5699709
Glacier National Park,51.24,-117.6,1991-07-09,Black Bear,1,0,Unknown,YLY,Highway,9/7/1991,455120,5677009
Glacier National Park,51.33,-117.5,1991-07-27,Mountain Goat,1,1,Female,ADULT,Highway,27/07/1991,467320,5686109
Glacier National Park,51.32,-117.5,1992-02-08,Mountain Goat,1,0,Male,YLY,Highway,8/2/1992,466620,5686009
Glacier National Park,51.41,-117.5,1992-09-17,Black Bear,1,1,Female,ADULT,Highway,17/09/1992,467420,5695009
Glacier National Park,51.35,-117.3,1993-05-21,Black Bear,1,1,Female,ADULT,Railway,21/05/1993,476920,5688809
Glacier National Park,51.32,-117.5,1993-06-20,Mountain Goat,1,0,Male,ADULT,Highway,20/06/1993,467320,5686009
Glacier National Park,51.32,-117.5,1993-07-15,Mountain Goat,1,0,Female,YOY,Highway,15/07/1993,466620,5685709
Glacier National Park,51.32,-117.5,1993-08-21,Mountain Goat,1,1,Female,ADULT,Highway,21/08/1993,465620,5685509
Glacier National Park,51.26,-117.6,1993-08-30,Black Bear,1,0,Male,ADULT,Highway,30/08/1993,459520,5678809
Glacier National Park,51.31,-117.5,1993-09-09,Black Bear,1,0,Unknown,UNKNOWN,Highway,9/9/1993,464420,5684909
Glacier National Park,51.32,-117.5,1994-06-22,Mountain Goat,1,1,Female,ADULT,Highway,22/06/1994,467020,5685909
Glacier National Park,51.1,-117.8,1994-06-25,Black Bear,1,1,Female,ADULT,Highway,25/06/1994,441420,5661609
Glacier National Park,51.26,-117.6,1994-06-29,Black Bear,1,0,Unknown,UNKNOWN,Highway,29/06/1994,459420,5678709
Glacier National Park,51.34,-117.4,1994-06-30,Black Bear,1,1,Female,ADULT,Railway,30/06/1994,470220,5687909
Glacier National Park,51.32,-117.5,1994-12-22,Mountain Goat,1,1,Female,ADULT,Highway,22/12/1994,466920,5685909
Glacier National Park,51.4,-117.5,1995-05-20,Black Bear,1,1,Female,ADULT,Highway,20/05/1995,467620,5694609
Glacier National Park,51.43,-117.5,1995-12-22,Wolverine,1,1,Female,ADULT,Highway,22/12/1995,466720,5698209
Glacier National Park,51.42,-117.5,1996-10-11,Black Bear,1,0,Unknown,YLY,Highway,11/10/1996,467120,5697009
Glacier National Park,51.26,-117.5,1997-06-11,Black Bear,1,0,Unknown,YLY,Highway,11/6/1997,462420,5678609
Glacier National Park,51.33,-117.5,1997-08-18,Mountain Goat,1,1,Female,ADULT,Highway,18/08/1997,468220,5686509
Glacier National Park,51.31,-117.5,1997-09-19,Black Bear,1,1,Female,ADULT,Highway,19/09/1997,462420,5684409
Glacier National Park,51.33,-117.5,1997-10-19,Mountain Goat,1,0,Unknown,ADULT,Highway,19/10/1997,468220,5686509
Glacier National Park,51.38,-117.4,1998-06-27,Black Bear,1,0,Male,ADULT,Highway,27/06/1998,468774,5692701
